Kurum;İlk Gün (Ad.);Son Gün (Ad.);Takas Oran (%)
ACAR MENKUL DEGERLER;1267308;1267308;0.01
A1 Captial;49166190;49166190;0.22
Anadolu;16772298;16772298;0.08
AKBANK T.A.S.;174979;174979;0.0
AK Yat.;6775912662;6775912662;30.68
ALFA MENKUL;22866;22866;0.0
ALB Yat.;4977989;4977989;0.02
ALAN MENKUL;205;205;0.0
Allbatross;1693588;1693588;0.01
ALTERNATIF MENKUL;2669154;2669154;0.01
Alnus Yat.;7919348;7919348;0.04
Ata Yat.;25949044;25949044;0.12
Ahlatcı;9517037;9517037;0.04
B.A.B. MENKUL;93712;93712;0.0
Bulls;10948310;10948310;0.05
BLUPAY MENKUL;151075;151075;0.0
BIZIM MENKUL;94993889;94993889;0.43
BASKENT MENKUL;11;11;0.0
CitiBank;1237251786;1237251786;5.6
Colendi;305099;305099;0.0
Deutsche;295380402;295380402;1.34
Dinamik Yat.;1365282;1365282;0.01
Deniz;284884283;284884283;1.29
Burgan;45093994;45093994;0.2
ELIPTIK YATIRIM;2195350;2195350;0.01
Emeklilik Fonları;36851541;36851541;0.17
QNB;245692839;245692839;1.11
GCM;1088390;1088390;0.0
Gedik;99517989;99517989;0.45
Global;21306372;21306372;0.1
ING;29087314;29087314;0.13
Garanti;1398262628;1398262628;6.33
Halk Yat.;1617478256;1617478256;7.32
HCBC;31847022;31847022;0.14
InvestAZ;2737084;2737084;0.01
ICBC TURKEY BANK;1600;1600;0.0
ICBC;26053719;26053719;0.12
IKON MENKUL DEGERLER;180297;180297;0.0
Integral;8778659;8778659;0.04
Info;111508425;111508425;0.5
İş Yat.;1829392487;1829392487;8.28
KARE YAT.;54638;54638;0.0
Kuveyt Türk;128535848;128535848;0.58
Midas;38302615;38302615;0.17
Bank of America;15805267;15805267;0.07
Marbas;18366139;18366139;0.08
MERKEZ MENKUL;4;4;0.0
Meksa;11470235;11470235;0.05
METRO MENKUL;78682;78682;0.0
NCM;1671409;1671409;0.01
Osmanlı;116170533;116170533;0.53
Oyak;226750248;226750248;1.03
Phillip;46960810;46960810;0.21
Piramit;1612704;1612704;0.01
PAPARA MENKUL;38381;38381;0.0
RAYMOND JAMES;410231;410231;0.0
Şeker;24176665;24176665;0.11
STRATEJI MEN.;304709;304709;0.0
SAYILGAN MEN.;114;114;0.0
Tacirler;51534218;51534218;0.23
TEB;117550674;117550674;0.53
TFG ISTANBUL;5476;5476;0.0
GARANTI BANKASI A.S.;88714;88714;0.0
IS BANKASI A.S.;7679964;7679964;0.03
TURKISH YAT.;19197627;19197627;0.09
TOROS MEN.;38;38;0.0
Tera;7136813;7136813;0.03
SINAI KALKINMA BANKASI A.S.;1143;1143;0.0
Trive;23505840;23505840;0.11
Ünlü;18602046;18602046;0.08
Vakıf;1903007046;1903007046;8.62
VERIM MENKUL DEGERLER;565;565;0.0
Yat. Finans;126417503;126417503;0.57
Yatırım Fonları;176462762;176462762;0.8
YATIRIM ORTAKLIKLARI;288600;288600;0.0
YAPI VE KREDI BANKASI A.S.;80082;80082;0.0
Yapı Kredi;683339063;683339063;3.09
YATIRIMCI TAZMIN MERKEZI;460725;460725;0.0
Ziraat;3818799746;3818799746;17.29
TOPLAM FARK;24596050;24596050;0.11
